Question,True_Answer,LLM_Answer,Retrieved_Context
Who is Harry Potter's best friend?,Ron Weasley,"According to the context, Harry Potter's best friends are Hermione Granger and Ron Weasley.","
sniggered, but Slughorn showed no dismay; on the contrary, he beamed and
looked from Hermione to Harry, who was sitting next to her.
“Oho! 
‘One of my best friends is Muggle-born, and she’s the best in our
year!’
 I’m assuming this is the very friend of whom you spoke, Harry?”
“Yes, sir,” said Harry.
“Well, well, take twenty well-earned points for Gryffindor, Miss Granger,”
said Slughorn genially.
Malfoy looked rather as he had done the time Hermione had punched him
in the face. Hermione turned to Harry with a radiant expression and
whispered, “Did you really tell him I’m the best in the year? Oh, Harry!”
“Well, what’s so impressive about that?” whispered Ron, who for somereason looked annoyed. “You 
are
 the best in the year — I’d’ve told him so if
he’d asked me!”
Hermione smiled but made a “shhing” gesture, so that they could hear what
Slughorn was saying. Ron looked slightly disgruntled.
“Amortentia doesn’t really create 
love,
 of course. It is impossible to
manufacture or imitate love. No, this will sim say you remember him at Hogwarts, Rosmerta,” murmured Professor
McGonagall. “Do you remember who his best friend was?”
“Naturally,” said Madam Rosmerta, with a small laugh. “Never saw one
without the other, did you? The number of times I had them in here — ooh,
they used to make me laugh. Quite the double act, Sirius Black and James
Potter!”
Harry dropped his tankard with a loud clunk. Ron kicked him.
“Precisely,” said Professor McGonagall. “Black and Potter. Ringleaders of
their little gang. Both very bright, of course — exceptionally bright, in fact —
but I don’t think we’ve ever had such a pair of troublemakers —”
“I dunno,” chuckled Hagrid. “Fred and George Weasley could give ’em a
run fer their money.”
“You’d have thought Black and Potter were brothers!” chimed in Professor
Flitwick. “Inseparable!”
“Of course they were,” said Fudge. “Potter trusted Black beyond all his
other friends. Nothing changed when they left school. Black was best man
when James married Lily. Then they named him godfather to Harry. . Again, your readers will have to buy my book for the
whole story, but there is no question that Dumbledore took an unnatural
interest in Potter from the word go. Whether that was really in the boy’s
best interests — well, we’ll see. It’s certainly an open secret that Potter
has had a most troubled adolescence.”
I ask whether Skeeter is still in touch with Harry Potter, whom she so
famously interviewed last year: a breakthrough piece in which Potter
spoke exclusively of his conviction that You-Know-Who had returned.
“Oh, yes, we’ve developed a close bond,” says Skeeter. “Poor Potter
has few real friends, and we met at one of the most testing moments of
his life — the Triwizard Tournament. I am probably one of the only
people alive who can say that they know the real Harry Potter.”
Which leads us neatly to the many rumors still circulating about
Dumbledore’s final hours. Does Skeeter believe that Potter was there
when Dumbledore died?
“Well, I don’t want to say too much — it’s all in the book — but
eyewitness"
What house is Harry Potter sorted into?,Gryffindor,"According to the passage, Harry Potter is sorted into Gryffindor House.","rom a doorway to the right — the
rest of the school must already be here — but Professor McGonagall showed
the first years into a small, empty chamber off the hall. They crowded in,
standing rather closer together than they would usually have done, peering
about nervously.
“Welcome to Hogwarts,” said Professor McGonagall. “The start-of-term
banquet will begin shortly, but before you take your seats in the Great Hall,
you will be sorted into your Houses. The Sorting is a very importantceremony because, while you are here, your House will be something like
your family within Hogwarts. You will have classes with the rest of your
House, sleep in your House dormitory, and spend free time in your House
common room.
“The four Houses are called Gryffindor, Hufflepuff, Ravenclaw, and
Slytherin. Each House has its own noble history and each has produced
outstanding witches and wizards. While you are at Hogwarts, your triumphs
will earn your House points, while any rule-breaking will lose House points.
At the end of the  you are here, your House will be something like
your family within Hogwarts. You will have classes with the rest of your
House, sleep in your House dormitory, and spend free time in your House
common room.
“The four Houses are called Gryffindor, Hufflepuff, Ravenclaw, and
Slytherin. Each House has its own noble history and each has produced
outstanding witches and wizards. While you are at Hogwarts, your triumphs
will earn your House points, while any rule-breaking will lose House points.
At the end of the year, the House with the most points is awarded the House
Cup, a great honor. I hope each of you will be a credit to whichever House
becomes yours.
“The Sorting Ceremony will take place in a few minutes in front of the rest
of the school. I suggest you all smarten yourselves up as much as you can
while you are waiting.”
Her eyes lingered for a moment on Neville’s cloak, which was fastened
under his left ear, and on Ron’s smudged nose. Harry nervously tried to
flatten his hair.
“I shall return when we are r  sir!” she said in a muffled squeak. “No, no, no. I
says to Dobby, I says, go find yourself a nice family and settle down, Dobby.
He is getting up to all sorts of high jinks, sir, what is unbecoming to a house-
elf. You goes racketing around like this, Dobby, I says, and next thing I hear
you’s up in front of the Department for the Regulation and Control of Magical
Creatures, like some common goblin.”“Well, it’s about time he had a bit of fun,” said Harry.
“House-elves is not supposed to have fun, Harry Potter,” said Winky
firmly, from behind her hands. “House-elves does what they is told. I is not
liking heights at all, Harry Potter” — she glanced toward the edge of the box
and gulped — “but my master sends me to the Top Box and I comes, sir.”
“Why’s he sent you up here, if he knows you don’t like heights?” said
Harry, frowning.
“Master — master wants me to save him a seat, Harry Potter. He is very
busy,” said Winky, tilting her head toward the empty space beside her.
“Winky is wishing she is back in master’"
What is the name of Harry Potter's owl?,Hedwig,The name of Harry Potter's owl is Hedwig.,"r at Hogwarts more enjoyable.
If ever you need me, send word. Your owl will find me.
I’ll write again soon.
Sirius
Harry looked eagerly inside the envelope. There was another piece of
parchment in there. He read it through quickly and felt suddenly as warm and
contented as though he’d swallowed a bottle of hot butterbeer in one gulp.
I, Sirius Black, Harry Potter’s godfather, hereby give him permission to
visit Hogsmeade on weekends.
“That’ll be good enough for Dumbledore!” said Harry happily. He looked
back at Sirius’s letter.
“Hang on, there’s a P.S. . . .”
I thought your friend Ron might like to keep this owl, as it’s my fault
he no longer has a rat.
Ron’s eyes widened. The minute owl was still hooting excitedly.
“Keep him?” he said uncertainly. He looked closely at the owl for a
moment; then, to Harry’s and Hermione’s great surprise, he held him out for
Crookshanks to sniff.
“What d’you reckon?” Ron asked the cat. “Definitely an owl?”Crookshanks purred.
“That’s good enough for me,” said Ron happily. “He’s He
brought it carefully inside. The owl dropped its letter onto Harry’s seat and
began zooming around their compartment, apparently very pleased with itself
for accomplishing its task. Hedwig clicked her beak with a sort of dignified
disapproval. Crookshanks sat up in his seat, following the owl with his great
yellow eyes. Ron, noticing this, snatched the owl safely out of harm’s way.
Harry picked up the letter. It was addressed to him. He ripped open the
letter, and shouted, “It’s from Sirius!”
“What?” said Ron and Hermione excitedly. “Read it aloud!”
Dear Harry,
I hope this finds you before you reach your aunt and uncle. I don’t
know whether they’re used to owl post.
Buckbeak and I are in hiding. I won’t tell you where, in case this falls
into the wrong hands. I have some doubt about the owl’s reliability, but
he is the best I could find, and he did seem eager for the job.
I believe the dementors are still searching for me, but they haven’t a
hope of finding me here. I am planning to allow some Muggles to
g er his shoulder. “What’s thatthing outside your window?”
Harry turned to look outside. Something very small and gray was bobbing
in and out of sight beyond the glass. He stood up for a better look and saw
that it was a tiny owl, carrying a letter that was much too big for it. The owl
was so small, in fact, that it kept tumbling over in the air, buffeted this way
and that in the train’s slipstream. Harry quickly pulled down the window,
stretched out his arm, and caught it. It felt like a very fluffy Snitch. He
brought it carefully inside. The owl dropped its letter onto Harry’s seat and
began zooming around their compartment, apparently very pleased with itself
for accomplishing its task. Hedwig clicked her beak with a sort of dignified
disapproval. Crookshanks sat up in his seat, following the owl with his great
yellow eyes. Ron, noticing this, snatched the owl safely out of harm’s way.
Harry picked up the letter. It was addressed to him. He ripped open the
letter, and shouted, “It’s from Sirius!”
“What?” sai"
Who is the headmaster of Hogwarts?,Albus Dumbledore,"According to the passage, Severus Snape is confirmed as the new Headmaster of Hogwarts after Dumbledore's death.","dunno . . . Hogwarts without Dumbledore . . .” He gulped and
disappeared behind his handkerchief once more, and there was silence.
“Very well,” said Professor McGonagall, glancing out of the window at thegrounds, checking to see whether the Minister was yet approaching, “then I
must agree with Filius that the right thing to do is to consult the governors,
who will make the final decision.
“Now, as to getting students home . . . there is an argument for doing it
sooner rather than later. We could arrange for the Hogwarts Express to come
tomorrow if necessary —”
“What about Dumbledore’s funeral?” said Harry, speaking at last.
“Well . . .” said Professor McGonagall, losing a little of her briskness as her
voice shook. “I — I know that it was Dumbledore’s wish to be laid to rest
here, at Hogwarts —”
“Then that’s what’ll happen, isn’t it?” said Harry fiercely.
“If the Ministry thinks it appropriate,” said Professor McGonagall. “No
other headmaster or headmistress has ever been —”
“No other headmaster or headmistre red
parchment.
A large picture of a familiar, hook-nosed, black-haired man stared up at
them all, beneath a headline that read:
SEVERUS SNAPE CONFIRMED AS HOGWARTS HEADMASTER
“No!” said Ron and Hermione loudly.
Hermione was quickest; she snatched up the newspaper and began to read
the accompanying story out loud.
“‘Severus Snape, long-standing Potions master at Hogwarts School of
Witchcraft and Wizardry, was today appointed headmaster in the most
important of several staffing changes at the ancient school. Following the
resignation of the previous Muggle Studies teacher, Alecto Carrow will take
over the post while her brother, Amycus, fills the position of Defense Against
the Dark Arts professor.
“
‘I welcome the opportunity to uphold our finest Wizarding traditions and
values —’ 
Like committing murder and cutting off people’s ears, I suppose!
Snape, headmaster! Snape in Dumbledore’s study — Merlin’s pants!” she
shrieked, making both Harry and Ron jump. She leapt up from the table and
hurtled from the room,  he had just been appointed Head Boy. Harry didn’t realize what he was so
pleased about until the Potions lesson about two weeks after Dumbledore and
Hagrid had left, when, sitting right behind Malfoy, Harry overheard him
gloating to Crabbe and Goyle.
“I always thought Father might be the one who got rid of Dumbledore,” he
said, not troubling to keep his voice down. “I told you he thinks
Dumbledore’s the worst headmaster the school’s ever had. Maybe we’ll get a
decent headmaster now. Someone who won’t 
want
 the Chamber of Secrets
closed. McGonagall won’t last long, she’s only filling in. . . .”
Snape swept past Harry, making no comment about Hermione’s empty seat
and cauldron.
“Sir,” said Malfoy loudly. “Sir, why don’t 
you 
apply for the headmaster’s
job?”
“Now, now, Malfoy,” said Snape, though he couldn’t suppress a thin-lipped
smile. “Professor Dumbledore has only been suspended by the governors. I
daresay he’ll be back with us soon enough.”
“Yeah, right,” said Malfoy, smirking. “I expect you’d have Father"
What spell is used to disarm an opponent?,Expelliarmus,"According to the passage, the spell used to disarm an opponent is not explicitly stated. However, it is mentioned that Lockhart shouted ""I said Disarm only!"" during the duel, implying that the spell should be used to disarm the opponent, but not to harm them."," Slytherin girl who
reminded Harry of a picture he’d seen in 
Holidays with Hags.
 She was large
and square and her heavy jaw jutted aggressively. Hermione gave her a weak
smile that she did not return.
“Face your partners!” called Lockhart, back on the platform. “And bow!”
Harry and Malfoy barely inclined their heads, not taking their eyes off each
other.
“Wands at the ready!” shouted Lockhart. “When I count to three, cast your
charms to Disarm your opponents — 
only
 to disarm them — we don’t want
any accidents — one . . . two . . . three —”
Harry swung his wand high, but Malfoy had already started on “two”: His
spell hit Harry so hard he felt as though he’d been hit over the head with a
saucepan. He stumbled, but everything still seemed to be working, and
wasting no more time, Harry pointed his wand straight at Malfoy and shouted,
“Rictusempra!”A jet of silver light hit Malfoy in the stomach and he doubled up, wheezing.
“I said Disarm only!”
 Lockhart shouted in alarm over the heads of the
battling crowd,  it before — I DID IT!”
“Good one!” said Harry encouragingly, deciding not to point out that in a
real duel situation Neville’s opponent was unlikely to be staring in the
opposite direction with his wand held loosely at his side. “Listen, Neville, can
you take it in turns to practice with Ron and Hermione for a couple of minutes
so I can walk around and see how the rest are doing?”
Harry moved off into the middle of the room. Something very odd was
happening to Zacharias Smith; every time he opened his mouth to disarm
Anthony Goldstein, his own wand would fly out of his hand, yet Anthony did
not seem to be making a sound. Harry did not have to look far for the solution
of the mystery, however; Fred and George were several feet from Smith and
taking it in turns to point their wands at his back.
“Sorry, Harry,” said George hastily, when Harry caught his eye. “Couldn’t
resist . . .”
Harry walked around the other pairs, trying to correct those who were
doing the spell wrong. Ginny was teamed with Michael Corner; s ed through the crowd, matching up partners. Lockhart teamed
Neville with Justin Finch-Fletchley, but Snape reached Harry and Ron first.
“Time to split up the dream team, I think,” he sneered. “Weasley, you can
partner Finnigan. Potter —”
Harry moved automatically toward Hermione.
“I don’t think so,” said Snape, smiling coldly. “Mr. Malfoy, come over
here. Let’s see what you make of the famous Potter. And you, Miss Granger
— you can partner Miss Bulstrode.”
Malfoy strutted over, smirking. Behind him walked a Slytherin girl who
reminded Harry of a picture he’d seen in 
Holidays with Hags.
 She was large
and square and her heavy jaw jutted aggressively. Hermione gave her a weak
smile that she did not return.
“Face your partners!” called Lockhart, back on the platform. “And bow!”
Harry and Malfoy barely inclined their heads, not taking their eyes off each
other.
“Wands at the ready!” shouted Lockhart. “When I count to three, cast your
charms to Disarm your opponents — 
only
 to disarm them — we don’t want
any acc"
Who teaches Potions at Hogwarts?,Severus Snape,"According to the passage, Professor Slughorn is the new Potions master at Hogwarts.","his face as he spoke. “Do you know about the Carrows?”
“Those two Death Eaters who teach here?”
“They do more than teach,” said Neville. “They’re in charge of all
discipline. They like punishment, the Carrows.”
“Like Umbridge?”
“Nah, they make her look tame. The other teachers are all supposed to refer
us to the Carrows if we do anything wrong. They don’t, though, if they can
avoid it. You can tell they all hate them as much as we do.
“Amycus, the bloke, he teaches what used to be Defense Against the Dark
Arts, except now it’s just the Dark Arts. We’re supposed to practice the
Cruciatus Curse on people who’ve earned detentions —”
“What?”
Harry, Ron, and Hermione’s united voices echoed up and down the
passage.
“Yeah,” said Neville. “That’s how I got this one,” he pointed at a
particularly deep gash in his cheek, “I refused to do it. Some people are into
it, though; Crabbe and Goyle love it. First time they’ve ever been top in
anything, I expect.
“Alecto, Amycus’s sister, teaches Muggle Studies, which is compul We are also looking for new
Quidditch commentators, who should do likewise.
“We are pleased to welcome a new member of staff this year. Professor
Slughorn” — Slughorn stood up, his bald head gleaming in the candlelight,
his big waistcoated belly casting the table below into shadow — “is a former
colleague of mine who has agreed to resume his old post of Potions master.”
“Potions?”
“Potions?”
The word echoed all over the Hall as people wondered whether they had
heard right.
“Potions?” said Ron and Hermione together, turning to stare at Harry. “But
you said —”
“Professor Snape, meanwhile,” said Dumbledore, raising his voice so that it
carried over all the muttering, “will be taking over the position of Defense
Against the Dark Arts teacher.”
“No!” said Harry, so loudly that many heads turned in his direction. He didnot care; he was staring up at the staff table, incensed. How could Snape be
given the Defense Against the Dark Arts job after all this time? Hadn’t it been
widely known for years that Dumbledore did it by now, though . . . or
Madam Pomfrey would’ve done.”
“It looks as if it’s died,” said Hermione, with a nauseated expression. “But
there are some injuries you can’t cure . . . old curses . . . and there are poisons
without antidotes. . . .”
“. . . and Mr. Filch, our caretaker, has asked me to say that there is a blanket
ban on any joke items bought at the shop called Weasleys’ Wizard Wheezes.
“Those wishing to play for their House Quidditch teams should give their
names to their Heads of House as usual. We are also looking for new
Quidditch commentators, who should do likewise.
“We are pleased to welcome a new member of staff this year. Professor
Slughorn” — Slughorn stood up, his bald head gleaming in the candlelight,
his big waistcoated belly casting the table below into shadow — “is a former
colleague of mine who has agreed to resume his old post of Potions master.”
“Potions?”
“Potions?”
The word echoed all over the Hall as people wondered whether they had
heard right.
“Potions?” said Ron and Hermione t"
What is the name of the Weasley's house?,The Burrow,The Weasley family lives in a house called the Burrow.," you are here, your House will be something like
your family within Hogwarts. You will have classes with the rest of your
House, sleep in your House dormitory, and spend free time in your House
common room.
“The four Houses are called Gryffindor, Hufflepuff, Ravenclaw, and
Slytherin. Each House has its own noble history and each has produced
outstanding witches and wizards. While you are at Hogwarts, your triumphs
will earn your House points, while any rule-breaking will lose House points.
At the end of the year, the House with the most points is awarded the House
Cup, a great honor. I hope each of you will be a credit to whichever House
becomes yours.
“The Sorting Ceremony will take place in a few minutes in front of the rest
of the school. I suggest you all smarten yourselves up as much as you can
while you are waiting.”
Her eyes lingered for a moment on Neville’s cloak, which was fastened
under his left ear, and on Ron’s smudged nose. Harry nervously tried to
flatten his hair.
“I shall return when we are r rs of his name rearranged
themselves:
I AM LORD VOLDEMORT
“You see?” he whispered. “It was a name I was already using at Hogwarts,
to my most intimate friends only, of course. You think I was going to use my
filthy Muggle father’s name forever? I, in whose veins runs the blood of
Salazar Slytherin himself, through my mother’s side? I, keep the name of a
foul, common Muggle, who abandoned me even before I was born, just
because he found out his wife was a witch? No, Harry — I fashioned myself a
new name, a name I knew wizards everywhere would one day fear to speak,when I had become the greatest sorcerer in the world!”
Harry’s brain seemed to have jammed. He stared numbly at Riddle, at the
orphaned boy who had grown up to murder Harry’s own parents, and so many
others. . . . At last he forced himself to speak.
“You’re not,” he said, his quiet voice full of hatred.
“Not what?” snapped Riddle.
“Not the greatest sorcerer in the world,” said Harry, breathing fast. “Sorry
to disappoint you and all that, but the grea ,” Vernon Dursley said now, resuming his pacing up and
down the living room, “we — Petunia, Dudley, and I — are in danger. From
— from —”
“Some of ‘my lot,’ right,” said Harry.
“Well, I don’t believe it,” repeated Uncle Vernon, coming to a halt in front
of Harry again. “I was awake half the night thinking it all over, and I believe
it’s a plot to get the house.”
“The house?” repeated Harry. “What house?”
“
This 
house!” shrieked Uncle Vernon, the vein in his forehead starting to
pulse. “
Our
 house! House prices are skyrocketing around here! You want us
out of the way and then you’re going to do a bit of hocus-pocus and before weknow it the deeds will be in your name and —”
“Are you out of your mind?” demanded Harry. “A plot to get this house?
Are you actually as stupid as you look?”
“Don’t you dare — !” squealed Aunt Petunia, but again, Vernon waved her
down: Slights on his personal appearance were, it seemed, as nothing to the
danger he had spotted.
“Just in case you’ve forgotten,” said Harry, “I’ve already"
Who is the author of the Harry Potter series?,J.K. Rowling,The author of the Harry Potter series is J.K. Rowling.,"CONTENTS
Harry Potter and the Sorcerer’s Stone
Harry Potter and the Chamber of Secrets
Harry Potter and the Prisoner of Azkaban
Harry Potter and the Goblet of Fire
Harry Potter and the Order of the Phoenix
Harry Potter and the Half-Blood Prince
Harry Potter and the Deathly Hallows 
F
OR
 J
ESSICA
, 
WHO LOVES STORIES
,
FOR
 A
NNE
, 
WHO LOVED THEM TOO
;
AND FOR
 D
I
, 
WHO HEARD THIS ONE FIRST
. 
CONTENTS
ONE
The Boy Who Lived
TWO
The Vanishing Glass
THREE
The Letters from No One
FOUR
The Keeper of the Keys
FIVE
Diagon Alley
SIX
The Journey from Platform Nine and Three-quarters
SEVEN
The Sorting Hat
EIGHT
The Potions Master
NINE
The Midnight Duel
TEN
Halloween
ELEVEN
Quidditch
TWELVEThe Mirror of Erised
THIRTEEN
Nicolas Flamel
FOURTEEN
Norbert the Norwegian Ridgeback
FIFTEEN
The Forbidden Forest
SIXTEEN
Through the Trapdoor
SEVENTEEN
The Man with Two FacesM
 
CHAPTER  ONE
THE BOY WHO LIVED
r. and Mrs. Dursley, of number four, Privet Drive, were proud to say
that they were perfectly normal, thank you very much now-Who’s sign!”
“Voldemort’s — ?”
“Harry, come 
on
!”
Harry turned — Ron was hurriedly scooping up his miniature Krum — the
three of them started across the clearing — but before they had taken a few
hurried steps, a series of popping noises announced the arrival of twenty
wizards, appearing from thin air, surrounding them.
Harry whirled around, and in an instant, he registered one fact: Each of
these wizards had his wand out, and every wand was pointing right at himself,
Ron, and Hermione.
Without pausing to think, he yelled, “DUCK!”
He seized the other two and pulled them down onto the ground.
“STUPEFY!”
 roared twenty voices — there was a blinding series of
flashes and Harry felt the hair on his head ripple as though a powerful wind
had swept the clearing. Raising his head a fraction of an inch he saw jets of
fiery red light flying over them from the wizards’ wands, crossing one
another, bouncing off tree trunks, rebounding into the darkness —
“Stop!” yelled a voice he recognized. “STOP! 
That’s my son!
” hen she reached the end of the page she looked up at him.
“Oh, Harry . . .”“And there’s this too.”
He handed her the torn photograph, and Hermione smiled at the baby
zooming in and out of sight on the toy broom.
“I’ve been looking for the rest of the letter,” Harry said, “but it’s not here.”
Hermione glanced around.
“Did you make all this mess, or was some of it done when you got here?”
“Someone had searched before me,” said Harry.
“I thought so. Every room I looked into on the way up had been disturbed.
What were they after, do you think?”
“Information on the Order, if it was Snape.”
“But you’d think he’d already have all he needed, I mean, he was 
in 
the
Order, wasn’t he?”
“Well then,” said Harry, keen to discuss his theory, “what about
information on Dumbledore? The second page of this letter, for instance. You
know this Bathilda my mum mentions, you know who she is?”
“Who?”
“Bathilda Bagshot, the author of —”
“
A History of Magic,
” said Hermione, looking interested. “So your parents
knew her? She was an"
What platform do students use to board the Hogwarts Express?,Platform 9 3/4,"According to the passage, students use Platform 9 3/4 to board the Hogwarts Express.","dumped Harry’s
trunk onto a cart and wheeled it into the station for him. Harry thought this
was strangely kind until Uncle Vernon stopped dead, facing the platforms
with a nasty grin on his face.
“Well, there you are, boy. Platform nine — platform ten. Your platform
should be somewhere in the middle, but they don’t seem to have built it yet,
do they?”
He was quite right, of course. There was a big plastic number nine over one
platform and a big plastic number ten over the one next to it, and in the
middle, nothing at all.
“Have a good term,” said Uncle Vernon with an even nastier smile. He left
without another word. Harry turned and saw the Dursleys drive away. All
three of them were laughing. Harry’s mouth went rather dry. What on earth
was he going to do? He was starting to attract a lot of funny looks, because of
Hedwig. He’d have to ask someone.
He stopped a passing guard, but didn’t dare mention platform nine and
three-quarters. The guard had never heard of Hogwarts and when Harry
couldn’t even tell him ough onto
platform nine and three quarters, where the Hogwarts Express stood belching
sooty steam over a platform packed with departing students and their families.Harry inhaled the familiar smell and felt his spirits soar. . . . He was really
going back. . . .
“I hope the others make it in time,” said Mrs. Weasley anxiously, staring
behind her at the wrought-iron arch spanning the platform, through which
new arrivals would come.
“Nice dog, Harry!” called a tall boy with dreadlocks.
“Thanks, Lee,” said Harry, grinning, as Sirius wagged his tail frantically.
“Oh good,” said Mrs. Weasley, sounding relieved, “here’s Alastor with the
luggage, look . . .”
A porter’s cap pulled low over his mismatched eyes, Moody came limping
through the archway pushing a cart full of their trunks.
“All okay,” he muttered to Mrs. Weasley and Tonks. “Don’t think we were
followed . . .”
Seconds later, Mr. Weasley emerged onto the platform with Ron and
Hermione. They had almost unloaded Moody’s luggage cart when Fred,
George, and Ginn  ten. The only tricky part was doing this in an
unobtrusive way, so as to avoid attracting Muggle attention. They did it in
groups today; Harry, Ron, and Hermione (the most conspicuous, since they
were accompanied by Pigwidgeon and Crookshanks) went first; they leaned
casually against the barrier, chatting unconcernedly, and slid sideways
through it . . . and as they did so, platform nine and three-quarters
materialized in front of them.
The Hogwarts Express, a gleaming scarlet steam engine, was already there,
clouds of steam billowing from it, through which the many Hogwarts students
and parents on the platform appeared like dark ghosts. Pigwidgeon became
noisier than ever in response to the hooting of many owls through the mist.
Harry, Ron, and Hermione set off to find seats, and were soon stowing their
luggage in a compartment halfway along the train. They then hopped back
down onto the platform to say good-bye to Mrs. Weasley, Bill, and Charlie.
“I might be seeing you all sooner than you think,” said Char"
What is the name of Harry's godfather?,Sirius Black,"According to the text, Harry's godfather is Sirius Black, who is also a convicted murderer."," mine.”
Harry read and reread the letter from Sirius all the way back into King’s
Cross station. It was still clutched tightly in his hand as he, Ron, and
Hermione stepped back through the barrier of platform nine and three-
quarters. Harry spotted Uncle Vernon at once. He was standing a good
distance from Mr. and Mrs. Weasley, eyeing them suspiciously, and when
Mrs. Weasley hugged Harry in greeting, his worst suspicions about them
seemed confirmed.
“I’ll call about the World Cup!” Ron yelled after Harry as Harry bid him
and Hermione good-bye, then wheeled the trolley bearing his trunk and
Hedwig’s cage toward Uncle Vernon, who greeted him in his usual fashion.
“What’s that?” he snarled, staring at the envelope Harry was still clutching
in his hand. “If it’s another form for me to sign, you’ve got another —”
“It’s not,” said Harry cheerfully. “It’s a letter from my godfather.”
“Godfather?” spluttered Uncle Vernon. “You haven’t got a godfather!”
“Yes, I have,” said Harry brightly. “He was my mum and dad’s best  Harry bid him
and Hermione good-bye, then wheeled the trolley bearing his trunk and
Hedwig’s cage toward Uncle Vernon, who greeted him in his usual fashion.
“What’s that?” he snarled, staring at the envelope Harry was still clutching
in his hand. “If it’s another form for me to sign, you’ve got another —”
“It’s not,” said Harry cheerfully. “It’s a letter from my godfather.”
“Godfather?” spluttered Uncle Vernon. “You haven’t got a godfather!”
“Yes, I have,” said Harry brightly. “He was my mum and dad’s best friend.
He’s a convicted murderer, but he’s broken out of Wizard prison and he’s on
the run. He likes to keep in touch with me, though . . . keep up with my
news . . . check if I’m happy. . . .”
And, grinning broadly at the look of horror on Uncle Vernon’s face, Harry
set off toward the station exit, Hedwig rattling along in front of him, for what
looked like a much better summer than the last. 
Text copyright © 1999 by J.K. Rowling.
Cover illustration by Olly Moss © Pottermore Limited 2015.
Interior illus rs of his name rearranged
themselves:
I AM LORD VOLDEMORT
“You see?” he whispered. “It was a name I was already using at Hogwarts,
to my most intimate friends only, of course. You think I was going to use my
filthy Muggle father’s name forever? I, in whose veins runs the blood of
Salazar Slytherin himself, through my mother’s side? I, keep the name of a
foul, common Muggle, who abandoned me even before I was born, just
because he found out his wife was a witch? No, Harry — I fashioned myself a
new name, a name I knew wizards everywhere would one day fear to speak,when I had become the greatest sorcerer in the world!”
Harry’s brain seemed to have jammed. He stared numbly at Riddle, at the
orphaned boy who had grown up to murder Harry’s own parents, and so many
others. . . . At last he forced himself to speak.
“You’re not,” he said, his quiet voice full of hatred.
“Not what?” snapped Riddle.
“Not the greatest sorcerer in the world,” said Harry, breathing fast. “Sorry
to disappoint you and all that, but the grea"
